"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,"positive"
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,"positive"
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,"positive"
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,"positive"
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,"positive"
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,"positive"
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,"positive"
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,"positive"
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,"positive"
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,"positive"
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,"positive"
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,"positive"
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,"positive"
1.51692688206152,12.8726655957755,3.57411954481853,1.33035542178201,72.6041195448185,0.609547657293733,8.77145394904306,0,0.00768982600653544,"positive"
1.51677326914085,13.1239905269863,3.57305288086878,1.35862983391853,72.672524072181,0.575264404343907,8.54685083040735,0,0.0694711913121864,"positive"
1.51690207294354,12.9200511727249,3.57841970598092,1.32106205813354,72.6242226461717,0.602098529904615,8.7346897093323,0,0.0158029401907697,"positive"
1.51672418849818,13.2017015445419,3.571007854091,1.37294502136298,72.690929313181,0.565039270455018,8.47527489318512,0,0.0899214590899646,"positive"
1.51670258051787,13.2359141800459,3.57010752157774,1.37924734895583,72.6990323058004,0.560537607888691,8.44376325522084,0,0.0989247842226177,"positive"
1.51690938953739,12.87147892348,3.56852107651997,1.30681141014444,72.6355087188445,0.604260538259987,8.77660792260663,0,0,"positive"
1.51661305635169,12.9826038681157,3.45739613188431,1.27594336996786,72.8824530402571,0.548698065942153,8.64696215386502,0,0,"positive"
1.51693825949613,12.8627557977941,3.57992747900542,1.31050764696207,72.6106526889512,0.609637395027094,8.78746176518965,0,0.000725209945812821,"positive"
1.51668797426984,12.9545096488111,3.48549035118893,1.2837473197747,72.8200214418024,0.562745175594464,8.67973874305375,0,0,"positive"
1.51676872094026,13.02537288527,3.50321973183891,1.57577785132686,72.5332197318389,0.60409382552607,8.54784684656886,0,0.100404966056813,"positive"
1.51648437444869,13.0308595817396,3.40914041826036,1.26253900507232,72.9896879594214,0.524570209130179,8.59066382130375,0,0,"positive"
1.516518992294,13.2066948321462,3.43809020854533,1.63137425228953,72.5300211241096,0.597618041709065,8.36570825025439,0,0.129506709054112,"positive"
1.51614312470314,13.3980456056725,3.40392042755848,1.26234061763156,72.6735342042544,0.590784085511696,8.32470451307017,0,0.0133294536988251,"positive"
1.51615891492692,13.3900069462974,3.4053559024469,1.27784374642652,72.667505209723,0.59107118048938,8.32642708293628,0,0.0182100683194585,"positive"
1.51673664886163,13.056339030154,3.48884259314276,1.62554486989044,72.5188425931428,0.602987891780213,8.50250356298871,0,0.119205839736387,"positive"
1.51707277229647,13.2885416176775,3.43476496228948,1.66858977373689,72.3124145851843,0.592382481144741,8.53615913653281,0,0.1052510897303,"positive"
1.51667795086184,13.195901723681,3.51708206841722,1.54757345001213,72.6029837920982,0.577639310527593,8.41354103420861,0,0.130868793423288,"positive"
1.51669803251992,13.2360650398396,3.56527804780751,1.39495284860954,72.6913430876471,0.561573984064162,8.43763902390376,0,0.102754472112283,"positive"
1.51669985263768,13.2397052753577,3.56964633042924,1.38111995364074,72.6993516057869,0.56011788985692,8.43982316521462,0,0.100206307249609,"positive"
1.51615977673981,13.3895682051871,3.40543424907373,1.27868988999631,72.6671761538903,0.591086849814746,8.32652109888848,0,0.018476446850691,"positive"
1.51667164333868,13.1832866773568,3.50194401282817,1.59551062604412,72.575230690185,0.582685329057276,8.40597200641409,0,0.139699325850233,"positive"
1.51653261932338,13.1997574353684,3.4393290293985,1.64475351750385,72.5248180765263,0.597865805879701,8.36719483527821,0,0.133718699954916,"positive"
1.51669696807518,12.5264267698536,3.55140800884459,1.32906132743694,72.7434292920586,0.590938672563061,8.6661013716599,0,0,"positive"
1.51654973366929,12.638934677178,3.54217290172121,1.36330374103272,72.8057429734594,0.565565419655759,8.49008877690183,0,0.0443458034424111,"positive"
1.51644108307462,12.4851035222411,3.47566770151258,1.31675077613443,72.9343322984874,0.551528208963573,8.54847179103643,0,0,"positive"
1.5166454634667,13.1197918062098,3.45144344241358,1.75154555157758,72.4884544484224,0.59938138182275,8.38309309088625,0,0.166494496995583,"positive"
1.51644179195749,12.5058974198066,3.47283217002638,1.31462412751978,72.9371678299736,0.55034673751099,8.54965326248901,0,0,"positive"
