"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,"positive"
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,"positive"
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,"positive"
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,"positive"
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,"positive"
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,"positive"
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,"positive"
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,"positive"
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,"positive"
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,"positive"
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,"positive"
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,"positive"
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,"positive"
1.51669525835754,13.2305167150777,3.55862005809322,1.4160364827048,72.6791367731709,0.563793313968927,8.43431002904661,0,0.106638299445622,"positive"
1.51667081426485,13.1816285296902,3.49995423562825,1.60181158717722,72.5715827653185,0.583348588123918,8.40497711781412,0,0.140860029216856,"positive"
1.51667974458425,13.1994891685061,3.52138700220734,1.53394115967676,72.6108761707135,0.576204332597554,8.41569350110367,0,0.128357582045719,"positive"
1.51668188536486,13.2037707297225,3.52652487566695,1.51767122705467,72.6202956053894,0.574491708111018,8.41826243783347,0,0.125360489194281,"positive"
1.51669827548136,13.2365509627247,3.56586115526967,1.39310634164605,72.6924121179944,0.561379614910111,8.43793057763483,0,0.102414326092694,"positive"
1.51665317399079,13.1463479815843,3.45761757790111,1.73587766997982,72.4939655594854,0.597460807366297,8.38380878895056,0,0.165556412891019,"positive"
1.51665767070907,13.1553414181434,3.46840970177203,1.70170261105523,72.5137511199154,0.593863432742655,8.38920485088602,0,0.159261007299647,"positive"
1.51665322124012,13.1464424802316,3.45773097627796,1.73551857511979,72.4941734565096,0.597423007907346,8.38386548813898,0,0.165490263837855,"positive"
1.51667427282316,13.1885456463182,3.50825477558188,1.57552654399071,72.5868004219001,0.580581741472706,8.40912738779094,0,0.136018047577236,"positive"
