"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
1.52121876,14.0284,3.75813,0.5789,71.7924,0.11178,9.64792,0,0,"positive"
1.52126432,14.321,3.90181,0.82928,71.5012,0,9.48652,0,0,"positive"
1.51777898,13.6427,3.65037,0.64952,73.002,0.0621,8.927,0,0,"positive"
1.51693612,12.858,3.57853,1.31078,72.61,0.60858,8.78712,0,0,"positive"
1.51663998,13.1373,3.44832,1.76018,72.4812,0.60237,8.37824,0,0.0867,"positive"
1.5177562,13.52965,3.40791,1.51943,72.0388,0.57753,8.78712,0,0,"positive"
1.51609326,13.33015,3.52914,1.33967,72.6716,0.5589,8.3352,0,0,"positive"
1.51645774,13.03755,3.39893,1.25942,73.0076,0.52164,8.58268,0,0,"positive"
1.52210718,14.188,3.78058,0.90953,71.3612,0.22977,9.1422,0,0.1887,"positive"
1.5193508,13.6427,3.53812,0.74903,72.6492,0.16146,8.89472,0.1512,0.1224,"positive"
1.51670832,13.23705,3.56955,1.3814,72.6996,0.5589,8.4428,0,0.051,"positive"
1.51609326,13.42325,3.39893,1.2209,72.6884,0.58995,8.32444,0,0,"positive"
1.51654886,13.40995,3.38995,1.27868,72.638,0.52164,8.64724,0,0,"positive"
1.52116266723485,14.0168178571706,3.75152334393595,0.584008815036481,71.8181287528552,0.113271835249588,9.62530224013708,0.00454036815091968,0.00367553612217307,"positive"
1.52020613665214,13.9148552892132,3.72640695609441,0.599689544920311,72.1484894015238,0.0971548995802738,9.43569118770956,0,0,"positive"
1.52149214612869,14.0775123861899,3.76503835256869,0.680642031616264,71.6597103952063,0.148088085504652,9.49229897278233,0,0.058067088183132,"positive"
1.5206670211781,13.9144758990525,3.693145707935,0.629151250438697,72.0454727759706,0.126453967682328,9.42544752700625,0.0446599016418681,0.0361532537100837,"positive"
1.52122007873964,14.0368693419227,3.76228883474864,0.586147278983607,71.7839711812444,0.10854451455872,9.64324825773642,0,0,"positive"
1.51803679578626,13.671608694382,3.65844674593365,0.644226943227225,72.9113389766023,0.065823577746693,8.98103385002307,0,0,"positive"
