"idx","Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
2,6,7,42,1.167,0.429,0.881,3.6,18,37,5,"negative"
11,5,2,10,0.4,0.8,1,8,8,10,1,"negative"
16,5,8,40,1.6,0.375,0.475,15,15,19,1,"negative"
17,6,7,42,1.167,0.405,0.952,4.25,17,40,4,"negative"
27,13,25,325,1.923,0.351,0.68,6,114,221,19,"negative"
31,11,8,88,0.727,0.58,1,5.1,51,88,10,"negative"
39,10,38,380,3.8,0.426,0.947,3.12,162,360,52,"negative"
43,9,50,450,5.556,0.496,0.958,2.69,223,431,83,"negative"
45,2,18,36,9,0.667,0.694,24,24,25,1,"positive"
46,2,22,44,11,0.75,0.75,33,33,33,1,"positive"
72,10,83,830,8.3,0.266,0.827,2.1,221,686,105,"negative"
80,12,44,528,3.667,0.294,0.742,2.31,155,392,67,"negative"
118,2,18,36,9,0.722,0.722,26,26,26,1,"positive"
120,1,17,17,17,0.765,1,3.25,13,17,4,"positive"
121,1,8,8,8,1,1,8,8,8,1,"positive"
129,10,152,1520,15.2,0.297,0.778,2.17,452,1182,208,"negative"
130,2,116,232,58,0.616,0.802,17.88,143,186,8,"positive"
138,7,46,322,6.571,0.155,0.587,4.17,50,189,12,"negative"
140,7,17,119,2.429,0.227,0.58,2.7,27,69,10,"negative"
160,10,49,490,4.9,0.52,0.961,2.97,255,471,86,"negative"
161,10,21,210,2.1,0.329,0.843,2.56,69,177,27,"negative"
182,8,84,672,10.5,0.269,0.966,1.79,181,649,101,"negative"
190,11,26,286,2.364,0.297,0.941,2.02,85,269,42,"negative"
213,8,48,384,6,0.31,0.807,1.92,119,310,62,"negative"
229,5,8,40,1.6,0.35,0.675,4.67,14,27,3,"negative"
246,9,49,441,5.444,0.594,0.998,3.05,262,440,86,"negative"
261,12,73,876,6.083,0.257,0.591,2.14,225,518,105,"negative"
277,12,43,516,3.583,0.293,0.791,2.29,151,408,66,"negative"
281,1,36,36,36,0.722,1,8.67,26,36,3,"positive"
292,12,116,1392,9.667,0.246,0.707,1.99,343,984,172,"negative"
293,10,126,1260,12.6,0.463,0.848,3.16,584,1068,185,"negative"
295,11,115,1265,10.455,0.266,0.723,1.79,337,915,188,"negative"
304,1,9,9,9,0.778,1,7,7,9,1,"positive"
305,8,42,336,5.25,0.363,0.97,2.18,122,326,56,"negative"
312,44,3,132,0.068,0.598,0.841,2.47,79,111,32,"positive"
