"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,"positive"
6,13,78,2.167,0.346,0.846,2.7,27,66,10,"negative"
8,12,96,1.5,0.396,0.844,2.11,38,81,18,"negative"
7,20,140,2.857,0.464,0.9,2.71,65,126,24,"negative"
10,83,830,8.3,0.208,0.667,1.44,173,554,120,"negative"
8,9,72,1.125,0.361,0.903,1.63,26,65,16,"negative"
8,9,72,1.125,0.375,0.986,2.08,27,71,13,"negative"
8,10,80,1.25,0.375,0.85,1.88,30,68,16,"negative"
7,21,147,3,0.259,0.837,1.46,38,123,26,"negative"
4,11,44,2.75,0.159,0.932,1.75,7,41,4,"positive"
9,82,738,9.111,0.309,0.778,1.93,228,574,118,"negative"
8,43,344,5.375,0.494,0.953,3.4,170,328,50,"negative"
9,207,1863,23,0.177,0.632,1.29,330,1178,255,"negative"
9,41,369,4.556,0.444,0.976,2.88,164,360,57,"negative"
7,70,490,10,0.535,0.971,3.23,262,476,81,"negative"
8,12,96,1.5,0.531,0.813,2.83,51,78,18,"negative"
5,10,50,2,0.28,0.74,7,14,37,2,"negative"
8,53,424,6.625,0.33,0.894,1.63,140,379,86,"negative"
9,64,576,7.111,0.307,0.842,1.99,177,485,89,"negative"
12,45,540,3.75,0.467,0.694,6.63,252,375,38,"negative"
8,186,1488,23.25,0.399,0.812,2.53,593,1208,234,"negative"
105,2,210,0.019,0.529,0.533,111,111,112,1,"positive"
9,91,819,10.111,0.32,0.773,2.2,262,633,119,"negative"
9,186,1674,20.667,0.16,0.814,1.26,268,1363,213,"negative"
7,346,2422,49.429,0.167,0.707,1.19,404,1712,339,"negative"
11,85,935,7.727,0.25,0.664,1.73,234,621,135,"negative"
7,7,49,1,0.918,0.959,22.5,45,47,2,"negative"
13,38,494,2.923,0.285,0.907,3.62,141,448,39,"negative"
13,151,1963,11.615,0.302,0.726,2.59,593,1425,229,"negative"
9,249,2241,27.667,0.301,0.739,1.96,674,1655,344,"negative"
10,25,250,2.5,0.34,0.816,1.89,85,204,45,"negative"
9,82,738,9.111,0.335,0.73,2.47,247,539,100,"negative"
7,14,98,2,0.357,0.959,1.84,35,94,19,"negative"
16,309,4944,19.313,0.382,0.549,5.38,1890,2713,351,"negative"
9,9,81,1,0.321,0.395,13,26,32,2,"negative"
12,85,1020,7.083,0.305,0.828,1.94,311,845,160,"negative"
11,11,121,1,0.455,0.876,4.23,55,106,13,"negative"
8,22,176,2.75,0.403,1,2.03,71,176,35,"negative"
6,20,120,3.333,0.367,0.967,1.38,44,116,32,"negative"
7,110,770,15.714,0.174,0.447,1.25,134,344,107,"negative"
10,33,330,3.3,0.318,0.758,2.33,105,250,45,"negative"
9,18,162,2,0.309,0.901,2.63,50,146,19,"negative"
10,212,2120,21.2,0.24,0.61,1.85,508,1293,274,"negative"
5,19,95,3.8,0.232,0.4,5.5,22,38,4,"negative"
7,12,84,1.714,0.25,0.524,1.75,21,44,12,"negative"
7,11,77,1.571,0.234,0.675,1.29,18,52,14,"negative"
20,39,780,1.95,0.14,0.405,3.21,109,316,34,"positive"
9,134,1206,14.889,0.216,0.68,1.65,260,820,158,"negative"
7,18,126,2.571,0.167,0.437,2.63,21,55,8,"negative"
8,508,4064,63.5,0.092,0.393,1.28,372,1599,290,"negative"
7,21,147,3,0.333,0.789,1.4,49,116,35,"negative"
10,10,100,1,0.46,0.46,46,46,46,1,"negative"
10,33,330,3.3,0.321,0.852,2.47,106,281,43,"negative"
7,123,861,17.571,0.139,0.674,1.26,120,580,95,"negative"
11,8,88,0.727,0.25,1,2.44,22,88,9,"negative"
6,10,60,1.667,0.483,0.933,2.07,29,56,14,"negative"
9,111,999,12.333,0.218,0.81,1.7,218,809,128,"negative"
8,75,600,9.375,0.415,0.91,2.37,249,546,105,"negative"
14,409,5726,29.214,0.172,0.578,1.79,984,3307,551,"negative"
4,20,80,5,0.388,0.925,1.41,31,74,22,"negative"
8,63,504,7.875,0.435,0.843,2.41,219,425,91,"negative"
8,42,336,5.25,0.259,0.756,1.74,87,254,50,"negative"
8,39,312,4.875,0.423,0.955,1.83,132,298,72,"negative"
7,21,147,3,0.327,0.912,1.71,48,134,28,"negative"
9,20,180,2.222,0.261,0.617,1.68,47,111,28,"negative"
77,271,20867,3.519,0.478,0.744,11.28,9981,15523,885,"negative"
10,122,1220,12.2,0.273,0.54,2.03,333,659,164,"negative"
8,92,736,11.5,0.359,0.913,1.75,264,672,151,"negative"
9,130,1170,14.444,0.513,0.925,2.86,600,1082,210,"negative"
8,16,128,2,0.438,0.891,2.67,56,114,21,"negative"
6,19,114,3.167,0.254,0.956,1.16,29,109,25,"negative"
6,6,36,1,0.361,1,1.44,13,36,9,"negative"
9,39,351,4.333,0.293,0.937,2.06,103,329,50,"negative"
9,47,423,5.222,0.333,0.757,2.39,141,320,59,"negative"
8,19,152,2.375,0.388,1,1.74,59,152,34,"negative"
6,29,174,4.833,0.356,0.684,1.88,62,119,33,"negative"
11,8,88,0.727,0.602,1,4.08,53,88,13,"negative"
6,96,576,16,0.267,0.939,1.51,154,541,102,"negative"
10,1,10,0.1,1,1,10,10,10,1,"positive"
9,80,720,8.889,0.304,0.838,1.8,219,603,122,"negative"
13,409,5317,31.462,0.267,0.582,2.23,1421,3095,637,"negative"
1,22,22,22,0.591,1,2.6,13,22,5,"negative"
8,24,192,3,0.385,0.969,1.8,74,186,41,"negative"
8,126,1008,15.75,0.188,0.685,1.27,189,690,149,"negative"
10,7,70,0.7,0.357,0.871,2.08,25,61,12,"negative"
8,8,64,1,0.344,0.922,1.83,22,59,12,"negative"
1,161,161,161,0.41,1,1.02,66,161,65,"positive"
8,43,344,5.375,0.387,0.762,1.93,133,262,69,"negative"
10,16,160,1.6,0.3,1,1.85,48,160,26,"negative"
7,10,70,1.429,0.329,0.814,1.28,23,57,18,"negative"
7,13,91,1.857,0.275,0.824,1.32,25,75,19,"negative"
1,283,283,283,0.993,1,140.5,281,283,2,"positive"
8,20,160,2.5,0.206,0.813,1.38,33,130,24,"negative"
7,15,105,2.143,0.229,0.886,1.6,24,93,15,"negative"
10,22,220,2.2,0.336,0.836,2.74,74,184,27,"negative"
25,169,4225,6.76,0.215,0.947,1.57,907,4000,579,"positive"
5,15,75,3,0.4,0.947,1.67,30,71,18,"negative"
9,71,639,7.889,0.39,0.768,2.44,249,491,102,"negative"
10,130,1300,13,0.486,0.856,3.18,632,1113,199,"negative"
8,148,1184,18.5,0.196,0.718,1.28,232,850,181,"negative"
10,19,190,1.9,0.584,0.842,6.94,111,160,16,"negative"
9,34,306,3.778,0.32,0.886,1.56,98,271,63,"negative"
7,19,133,2.714,0.331,0.729,1.69,44,97,26,"negative"
7,25,175,3.571,0.434,1,1.81,76,175,42,"negative"
7,65,455,9.286,0.407,0.895,2.18,185,407,85,"negative"
9,56,504,6.222,0.196,0.617,1.24,99,311,80,"negative"
85,69,5865,0.812,0.165,0.441,1.44,969,2588,674,"positive"
25,292,7300,11.68,0.45,0.914,7.23,3283,6670,454,"negative"
9,64,576,7.111,0.302,0.92,1.98,174,530,88,"negative"
8,44,352,5.5,0.486,0.952,2.95,171,335,58,"negative"
6,146,876,24.333,0.325,0.691,1.83,285,605,156,"negative"
8,23,184,2.875,0.288,1,1.47,53,184,36,"negative"
6,81,486,13.5,0.282,0.852,1.26,137,414,109,"negative"
16,424,6784,26.5,0.371,0.719,5.16,2518,4879,488,"negative"
6,184,1104,30.667,0.323,0.752,1.99,357,830,179,"negative"
8,32,256,4,0.375,0.801,2.04,96,205,47,"negative"
5,15,75,3,0.507,0.787,3.17,38,59,12,"negative"
8,48,384,6,0.396,0.924,2.03,152,355,75,"negative"
24,178,4272,7.417,0.483,0.933,8,2063,3987,258,"negative"
9,12,108,1.333,0.407,0.88,1.69,44,95,26,"negative"
8,1,8,0.125,0.875,1,7,7,8,1,"positive"
10,249,2490,24.9,0.462,0.842,3.53,1151,2097,326,"negative"
8,20,160,2.5,0.375,0.725,1.88,60,116,32,"negative"
8,8,64,1,0.234,0.953,2.5,15,61,6,"negative"
